personName,finalWorth,category,age,country,organization
Bruce Kovner,6600,Finance & Investments,78,United States,Caxton Associates LP
"Henry Nicholas, III.",6600,Technology,63,United States,Broadcom
Nadia Thiele,6600,Finance & Investments,47,Germany,
David Bonderman,6500,Finance & Investments,80,United States,
Melinda French Gates,6500,Technology,58,United States,Bill & Melinda Gates Foundation
Nathan Kirsh,6500,Fashion & Retail,91,Eswatini (Swaziland),
Annette Lerner & family,6500,Real Estate,93,United States,
David Reuben,6500,Real Estate,84,United Kingdom,
Simon Reuben,6500,Diversified,81,Monaco,
Radovan Vitek,6500,Real Estate,51,Switzerland,
Carl Bennet,6400,Finance & Investments,71,Sweden,
Stephen Bisciotti,6400,Sports,62,United States,Baltimore Ravens
Stanley Druckenmiller,6400,Finance & Investments,69,United States,Duquesne Family Office
Jian Jun,6400,Healthcare,59,China,
Alexei Kuzmichev,6400,Energy,60,France,
Dmitry Rybolovlev & family,6400,Manufacturing,56,Monaco,
Luis Carlos Sarmiento,6400,Finance & Investments,90,Colombia,
Dennis Washington,6400,Logistics,88,United States,
Anthony Bamford & family,6300,Construction & Engineering,77,United Kingdom,
Gao Jifan & family,6300,Energy,58,China,
John Grayken,6300,Finance & Investments,66,United Kingdom,
Alain Merieux & family,6300,Healthcare,85,France,
Wang Yusuo & family,6300,Energy,59,China,
Stef Wertheimer & family,6300,Manufacturing,96,Israel,
Maria Asuncion Aramburuzabala & family,6200,Food & Beverage,59,Mexico,
Gustaf Douglas,6200,Diversified,85,Sweden,
Frits Goldschmeding,6200,Service,89,Netherlands,
Lin Muqin & family,6200,Food & Beverage,59,China,
Ruan Liping,6200,Manufacturing,59,China,
Ruan Xueping,6200,Manufacturing,51,China,
Michal Solowow,6200,Finance & Investments,60,Poland,
Mike Adenuga,6100,Diversified,69,Nigeria,
Tom Gores,6100,Finance & Investments,58,United States,
Michael Herz,6100,Fashion & Retail,79,Germany,
Wolfgang Herz,6100,Fashion & Retail,72,Germany,
Michael Kadoorie,6100,Energy,81,Hong Kong,
Sunil Mittal,6100,Telecom,65,,
Zhou Qunfei,6100,Technology,53,Hong Kong,Lens Technology
Alexander Abramov,6000,Metals & Mining,64,Russia,
Rene Benko,6000,Real Estate,46,Austria,
Neil Bluhm,6000,Real Estate,85,United States,
Alain Bouchard,6000,Fashion & Retail,74,Canada,Alimentation Couche Tard Inc. Cl A
Jay Chaudhry,6000,Technology,63,United States,
Gopikishan Damani,6000,Fashion & Retail,65,India,
Sumet Jiaravanon,6000,Diversified,88,Thailand,
Joe Lewis,6000,Finance & Investments,86,Bahamas,
Frank Lowy,6000,Finance & Investments,92,Israel,
Michael Milken,6000,Finance & Investments,76,United States,
David Steward,6000,Technology,71,United States,
Les Wexner & family,6000,Fashion & Retail,85,United States,
Cai Kui,5900,Real Estate,60,China,
Jaran Chiaravanont,5900,Diversified,93,Thailand,
Andreas Halvorsen,5900,Finance & Investments,61,United States,Viking Global Investors
Antony Ressler,5900,Finance & Investments,62,United States,
Tsai Eng-meng,5900,Food & Beverage,66,China,
Josh Harris,5800,Finance & Investments,58,United States,
Niels Peter Louis-Hansen,5800,Healthcare,75,Denmark,
Patrick Soon-Shiong,5800,Healthcare,70,United States,
Rinat Akhmetov,5700,Metals & Mining,56,Ukraine,
John Brown,5700,Healthcare,88,United States,
Clive Calder,5700,Media & Entertainment,76,Cayman Islands,
Arthur Irving,5700,Energy,93,Canada,
Fredrik Lundberg,5700,Real Estate,71,Sweden,
Thomas Schmidheiny,5700,Construction & Engineering,77,Switzerland,
Helmut Sohmen,5700,Logistics,83,Hong Kong,
Daniel Ziff,5700,Finance & Investments,51,United States,
Dirk Ziff,5700,Finance & Investments,59,United States,
Robert Ziff,5700,Finance & Investments,56,United States,
Maria Angelicoussis,5600,Logistics,41,Greece,
Ray Lee Hunt,5600,Energy,79,United States,
Lai Meisong,5600,Logistics,52,China,
Vikram Lal & family,5600,Automotive,81,India,
Ken Langone,5600,Finance & Investments,87,United States,
Li Ge,5600,Healthcare,56,China,
Karen Pritzker,5600,Finance & Investments,65,United States,
Robert Rowling,5600,Service,69,United States,
Teddy Sagi,5600,Gambling & Casinos,51,Israel,
Seo Jung-jin,5600,Healthcare,65,South Korea,Celltrion Inc.
Wu Jianshu,5600,Automotive,59,China,
Micky Arison,5500,Service,73,United States,Carnival Corp.
James Chambers,5500,Media & Entertainment,65,United States,
Pierre Chen,5500,Technology,66,Taiwan,
John Collison,5500,Technology,32,United States,Stripe
Patrick Collison,5500,Technology,34,United States,Stripe
Archie Aldis Emmerson & family,5500,Manufacturing,93,United States,
Piero Ferrari,5500,Automotive,77,Italy,
Dan Friedkin,5500,Automotive,58,United States,Gulf States Toyota
James Irving,5500,Diversified,95,Canada,
Jiang Weiping & family,5500,Manufacturing,68,China,
Wolfgang Marguerre & family,5500,Healthcare,81,Germany,
Ludwig Merckle,5500,Finance & Investments,58,Germany,
Mitchell Rales,5500,Manufacturing,66,United States,
Katharine Rayner,5500,Media & Entertainment,78,United States,
Jean Salata,5500,Finance & Investments,57,Hong Kong,
Paul Singer,5500,Finance & Investments,78,United States,Elliott Management
Sergio Stevanato & family,5500,Healthcare,80,Italy,
Margaretta Taylor,5500,Media & Entertainment,80,United States,
Richard White,5500,Technology,68,Australia,
Zhao Yan,5500,Diversified,56,China,
Patrizio Bertelli,5400,Fashion & Retail,77,Italy,
Mahendra Choksi & family,5400,Manufacturing,81,India,
Mat Ishbia,5400,Finance & Investments,43,United States,
Leo Koguan,5400,Technology,68,Singapore,
Miao Hangen,5400,Diversified,58,China,
Michael Pieper,5400,Manufacturing,77,Switzerland,Artemis Real Estate Partners
Miuccia Prada,5400,Fashion & Retail,73,Italy,Prada
Wolfgang Reimann,5400,Fashion & Retail,70,Germany,
